ClassDefIdentifier,versionMajor,versionMinor,versionMicro,base,deprecated,base_typing_TypeAlias,fieldRename,typeC,typeStub,type_field_type,typeStub_typing_TypeAlias,list2Sequence,defaultValue,keywordArguments,kwargAnnotation,keywordArgumentsDefaultValue,classAs_astAttribute,classVersionMinorMinimum,attribute,attributeKind,attributeVersionMinorMinimum,TypeAliasSubcategory,type,ast_exprType,ast_arg,match_args,match_argsVersionMinorMinimum
Assert,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'Assert')",-1,end_lineno,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_lineno', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'test', 'msg'",-1.0
Assert,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'Assert')",-1,end_col_offset,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_col_offset', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'test', 'msg'",-1.0
Assign,3,13,3,stmt,False,No,No,list(expr),list[expr],list[ast.expr],No,True,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'Assign')",-1,targets,_field,-1,list_expr,list[ast.expr],"ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='expr'))","ast.arg('targets', ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='expr')))","'targets', 'value', 'type_comment'",-1.0
Assign,3,13,3,stmt,False,No,No,expr,expr,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'Assign')",-1,value,_field,-1,expr,ast.expr,"ast.Attribute(value=ast.Name('ast'), attr='expr')","ast.arg('value', ast.Attribute(value=ast.Name('ast'), attr='expr'))","'targets', 'value', 'type_comment'",-1.0
Assign,3,13,3,stmt,False,No,No,string | None,str | None,str | None,No,False,ast.Constant(None),True,str,No,"ast.Attribute(ast.Name('ast'), 'Assign')",-1,type_comment,_field,-1,strOrNone,str | None,"ast.BinOp(left=ast.Name('str'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('type_comment', ast.BinOp(left=ast.Name('str'), op=ast.BitOr(), right=ast.Constant(value=None)))","'targets', 'value', 'type_comment'",-1.0
Assign,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'Assign')",-1,lineno,_attribute,-1,No,int,ast.Name('int'),"ast.arg('lineno', ast.Name('int'))","'targets', 'value', 'type_comment'",-1.0
Assign,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'Assign')",-1,col_offset,_attribute,-1,No,int,ast.Name('int'),"ast.arg('col_offset', ast.Name('int'))","'targets', 'value', 'type_comment'",-1.0
Assign,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'Assign')",-1,end_lineno,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_lineno', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'targets', 'value', 'type_comment'",-1.0
Assign,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'Assign')",-1,end_col_offset,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_col_offset', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'targets', 'value', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,No,expr,expr,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,target,_field,-1,expr,ast.expr,"ast.Attribute(value=ast.Name('ast'), attr='expr')","ast.arg('target', ast.Attribute(value=ast.Name('ast'), attr='expr'))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,No,expr,expr,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,iter,_field,-1,expr,ast.expr,"ast.Attribute(value=ast.Name('ast'), attr='expr')","ast.arg('iter', ast.Attribute(value=ast.Name('ast'), attr='expr'))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,No,list(stmt),list[stmt],list[ast.stmt],No,True,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,body,_field,-1,list_stmt,list[ast.stmt],"ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='stmt'))","ast.arg('body', ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='stmt')))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,orElse,list(stmt),list[stmt],list[ast.stmt],No,True,ast.List(),False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,orelse,_field,-1,list_stmt,list[ast.stmt],"ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='stmt'))","ast.arg('orelse', ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='stmt')))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,No,string | None,str | None,str | None,No,False,ast.Constant(None),True,str,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,type_comment,_field,-1,strOrNone,str | None,"ast.BinOp(left=ast.Name('str'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('type_comment', ast.BinOp(left=ast.Name('str'), op=ast.BitOr(), right=ast.Constant(value=None)))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,lineno,_attribute,-1,No,int,ast.Name('int'),"ast.arg('lineno', ast.Name('int'))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,col_offset,_attribute,-1,No,int,ast.Name('int'),"ast.arg('col_offset', ast.Name('int'))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,end_lineno,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_lineno', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFor,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncFor')",-1,end_col_offset,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_col_offset', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'target', 'iter', 'body', 'orelse', 'type_comment'",-1.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,identifier,str,str,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,name,_field,-1,str,str,ast.Name('str'),"ast.arg('name', ast.Name('str'))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,arguments,arguments,arguments,No,False,ast.arguments(),False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,args,_field,-1,arguments,ast.arguments,"ast.Attribute(value=ast.Name('ast'), attr='arguments')","ast.arg('args', ast.Attribute(value=ast.Name('ast'), attr='arguments'))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,list(stmt),list[stmt],list[ast.stmt],No,True,ast.List(),False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,body,_field,-1,list_stmt,list[ast.stmt],"ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='stmt'))","ast.arg('body', ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='stmt')))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,list(expr),list[expr],list[ast.expr],No,True,ast.List(),False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,decorator_list,_field,-1,list_expr,list[ast.expr],"ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='expr'))","ast.arg('decorator_list', ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='expr')))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,expr | None,expr | None,ast.expr | None,No,False,ast.Constant(None),False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,returns,_field,-1,exprOrNone,ast.expr | None,"ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='expr'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('returns', ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='expr'), op=ast.BitOr(), right=ast.Constant(value=None)))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,string | None,str | None,str | None,No,False,ast.Constant(None),True,str,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,type_comment,_field,-1,strOrNone,str | None,"ast.BinOp(left=ast.Name('str'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('type_comment', ast.BinOp(left=ast.Name('str'), op=ast.BitOr(), right=ast.Constant(value=None)))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,list(type_param),list[type_param],list[ast.type_param],No,True,ast.List(),True,type_params,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,type_params,_field,12,list_type_param,list[ast.type_param],"ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='type_param'))","ast.arg('type_params', ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='type_param')))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,lineno,_attribute,-1,No,int,ast.Name('int'),"ast.arg('lineno', ast.Name('int'))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,col_offset,_attribute,-1,No,int,ast.Name('int'),"ast.arg('col_offset', ast.Name('int'))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,end_lineno,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_lineno', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncFunctionDef,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncFunctionDef')",-1,end_col_offset,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_col_offset', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'name', 'args', 'body', 'decorator_list', 'returns', 'type_comment', 'type_params'",12.0
AsyncWith,3,13,3,stmt,False,No,No,list(withitem),list[withitem],list[ast.withitem],No,True,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncWith')",-1,items,_field,-1,list_withitem,list[ast.withitem],"ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='withitem'))","ast.arg('items', ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='withitem')))","'items', 'body', 'type_comment'",-1.0
AsyncWith,3,13,3,stmt,False,No,No,list(stmt),list[stmt],list[ast.stmt],No,True,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AsyncWith')",-1,body,_field,-1,list_stmt,list[ast.stmt],"ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='stmt'))","ast.arg('body', ast.Subscript(value=ast.Name('list'), slice=ast.Attribute(value=ast.Name('ast'), attr='stmt')))","'items', 'body', 'type_comment'",-1.0
AsyncWith,3,13,3,stmt,False,No,No,string | None,str | None,str | None,No,False,ast.Constant(None),True,str,No,"ast.Attribute(ast.Name('ast'), 'AsyncWith')",-1,type_comment,_field,-1,strOrNone,str | None,"ast.BinOp(left=ast.Name('str'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('type_comment', ast.BinOp(left=ast.Name('str'), op=ast.BitOr(), right=ast.Constant(value=None)))","'items', 'body', 'type_comment'",-1.0
AsyncWith,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncWith')",-1,lineno,_attribute,-1,No,int,ast.Name('int'),"ast.arg('lineno', ast.Name('int'))","'items', 'body', 'type_comment'",-1.0
AsyncWith,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncWith')",-1,col_offset,_attribute,-1,No,int,ast.Name('int'),"ast.arg('col_offset', ast.Name('int'))","'items', 'body', 'type_comment'",-1.0
AsyncWith,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncWith')",-1,end_lineno,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_lineno', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'items', 'body', 'type_comment'",-1.0
AsyncWith,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AsyncWith')",-1,end_col_offset,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_col_offset', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'items', 'body', 'type_comment'",-1.0
Attribute,3,13,3,expr,False,No,No,expr,expr,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'Attribute')",-1,value,_field,-1,expr,ast.expr,"ast.Attribute(value=ast.Name('ast'), attr='expr')","ast.arg('value', ast.Attribute(value=ast.Name('ast'), attr='expr'))","'value', 'attr', 'ctx'",-1.0
Attribute,3,13,3,expr,False,No,No,identifier,str,str,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'Attribute')",-1,attr,_field,-1,str,str,ast.Name('str'),"ast.arg('attr', ast.Name('str'))","'value', 'attr', 'ctx'",-1.0
Attribute,3,13,3,expr,False,No,context,expr_context,expr_context,expr_context,No,False,ast.Load(),False,No,No,"ast.Attribute(ast.Name('ast'), 'Attribute')",-1,ctx,_field,-1,expr_context,ast.expr_context,"ast.Attribute(value=ast.Name('ast'), attr='expr_context')","ast.arg('ctx', ast.Attribute(value=ast.Name('ast'), attr='expr_context'))","'value', 'attr', 'ctx'",-1.0
Attribute,3,13,3,expr,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'Attribute')",-1,lineno,_attribute,-1,No,int,ast.Name('int'),"ast.arg('lineno', ast.Name('int'))","'value', 'attr', 'ctx'",-1.0
Attribute,3,13,3,expr,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'Attribute')",-1,col_offset,_attribute,-1,No,int,ast.Name('int'),"ast.arg('col_offset', ast.Name('int'))","'value', 'attr', 'ctx'",-1.0
Attribute,3,13,3,expr,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'Attribute')",-1,end_lineno,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_lineno', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'value', 'attr', 'ctx'",-1.0
Attribute,3,13,3,expr,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'Attribute')",-1,end_col_offset,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_col_offset', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'value', 'attr', 'ctx'",-1.0
AugAssign,3,13,3,stmt,False,No,No,expr,Name | Attribute | Subscript,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AugAssign')",-1,target,_field,-1,NameOrAttributeOrSubscript,ast.Name | ast.Attribute | ast.Subscript,"ast.BinOp(left=ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='Name'), op=ast.BitOr(), right=ast.Attribute(value=ast.Name('ast'), attr='Attribute')), op=ast.BitOr(), right=ast.Attribute(value=ast.Name('ast'), attr='Subscript'))","ast.arg('target', ast.BinOp(left=ast.BinOp(left=ast.Attribute(value=ast.Name('ast'), attr='Name'), op=ast.BitOr(), right=ast.Attribute(value=ast.Name('ast'), attr='Attribute')), op=ast.BitOr(), right=ast.Attribute(value=ast.Name('ast'), attr='Subscript')))","'target', 'op', 'value'",-1.0
AugAssign,3,13,3,stmt,False,No,No,operator,operator,operator,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AugAssign')",-1,op,_field,-1,operator,ast.operator,"ast.Attribute(value=ast.Name('ast'), attr='operator')","ast.arg('op', ast.Attribute(value=ast.Name('ast'), attr='operator'))","'target', 'op', 'value'",-1.0
AugAssign,3,13,3,stmt,False,No,No,expr,expr,expr,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AugAssign')",-1,value,_field,-1,expr,ast.expr,"ast.Attribute(value=ast.Name('ast'), attr='expr')","ast.arg('value', ast.Attribute(value=ast.Name('ast'), attr='expr'))","'target', 'op', 'value'",-1.0
AugAssign,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AugAssign')",-1,lineno,_attribute,-1,No,int,ast.Name('int'),"ast.arg('lineno', ast.Name('int'))","'target', 'op', 'value'",-1.0
AugAssign,3,13,3,stmt,False,No,No,No,int,No,No,False,No,True,int,No,"ast.Attribute(ast.Name('ast'), 'AugAssign')",-1,col_offset,_attribute,-1,No,int,ast.Name('int'),"ast.arg('col_offset', ast.Name('int'))","'target', 'op', 'value'",-1.0
AugAssign,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AugAssign')",-1,end_lineno,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_lineno', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'target', 'op', 'value'",-1.0
AugAssign,3,13,3,stmt,False,No,No,No,int | None,No,No,False,ast.Constant(None),True,int,No,"ast.Attribute(ast.Name('ast'), 'AugAssign')",-1,end_col_offset,_attribute,-1,No,int | None,"ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None))","ast.arg('end_col_offset', ast.BinOp(left=ast.Name('int'), op=ast.BitOr(), right=ast.Constant(value=None)))","'target', 'op', 'value'",-1.0
AugLoad,3,13,3,expr_context,True,No,No,No,No,No,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AugLoad')",-1,No,No,-1,No,No,No,No,No,No
AugStore,3,13,3,expr_context,True,No,No,No,No,No,No,False,No,False,No,No,"ast.Attribute(ast.Name('ast'), 'AugStore')",-1,No,No,-1,No,No,No,No,No,No
